"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","17","18-304274","12","C/C","S","4351   REDWOOD AVE #6","MARINA DEL REY","2","2.00 (2 0 0 0)","1,057","$708.61","$749,000","$700,000","$527.00","552,170","1974","12"
"","12","21-100485","12","C/C","S","13700   Marina Pointe Dr #1421","MARINA DEL REY","1","1.00 (1 0 0 0)","859","$977.88","$840,000","$840,000","$912.00","124,611","2003","17"
"","17","21-100737","12","C/C","S","14   Reef St #3","Marina Del Rey","1","2.00 (2 0 0 0)","931","$1,251.34","$1,165,000","$1,155,000","$300.00","3,031","1971","10"
"","36","21-101141","12","C/C","S","4748   LA VILLA MARINA  #K","MARINA DEL REY","3","3.00 (1 1 1 0)","1,932","$615.42","$1,189,000","$1,200,000","$445.00","","1967","36"
"","32","21-101685","12","C/C","S","13600   Marina Pointe Dr #1105","Marina Del Rey","2","3.00 (2 0 1 0)","1,900","$815.79","$1,550,000","$1,550,000","$1,738.94","122,880","1999","13"
"","39","21-101767","12","C/C","S","4050   Glencoe Ave #404","Marina Del Rey","2","2.00 (2 0 0 0)","1,390","$790.65","$1,099,000","$1,098,000","$522.66","59,223","2007","17"
"","1","21-101875","12","C/C","S","4733   La Villa Marina  #F","Marina Del Rey","3","3.00 (3 0 0 0)","1,932","$594.72","$1,149,000","$1,210,000","$449.00","73,858","1966","15"
"","20","21-103097","12","C/C","S","4060   Glencoe Ave #224","Marina Del Rey","1","1.00 (1 0 0 0)","708","$923.73","$654,000","$660,000","$399.11","59,461","2004","13"
"","20","21-103169","12","C/C","S","13035   Mindanao Way #4","Marina Del Rey","2","3.00 (2 0 1 0)","1,575","$739.68","$1,165,000","$1,180,000","$615.00","390,060","1975","35"
"","1","21-103789","12","C/C","S","13700   Marina Pointe Dr #1622","MARINA DEL REY","1","1.00 (1 0 0 0)","859","$988.36","$849,000","$845,000","$989.34","124,662","2003","28"
"","1","21-104931","12","C/C","S","310   Tahiti Way #312","Marina Del Rey","2","2.00 (2 0 0 0)","1,428","$899.86","$1,285,000","$1,285,000","$758.00","194,604","1979","19"
"","48","21-104935","12","C/C","S","13650   Marina Pointe Dr #905","Marina Del Rey","2","2.00 (2 0 0 0)","1,714","$831.39","$1,425,000","$1,350,000","$1,695.00","31,647","2006","8"
"","25","21-105139","12","C/C","S","4140   Glencoe Ave #503","Marina Del Rey","1","1.00 (1 0 0 0)","710","$1,091.55","$775,000","$755,000","$523.38","39,473","2016","7"
"","16","21-105309","12","C/C","S","445   Washington Blvd #12","Marina Del Rey","1","1.00 (1 0 0 0)","592","$1,033.78","$612,000","$615,000","$409.00","12,504","1978","144"
"","27","21-105461","12","C/C","S","13700   Marina Pointe Dr #1510","Venice","1","2.00 (2 0 0 0)","928","$882.54","$819,000","$828,750","$1,018.99","124,662","2003","7"
"","31","21-105482","12","C/C","S","1   Spinnaker St #11","Marina Del Rey","2","3.00 (3 0 0 0)","1,965","$1,475.06","$2,898,500","$2,760,000","$1,035.00","18,535","1974","18"
"","14","21-105885","12","C/C","S","13700   Marina Pointe Dr #626","Marina Del Rey","1","1.00 (1 0 0 0)","749","$878.50","$658,000","$645,000","$998.61","124,662","2003","180"
"","19","21-106051","12","C/C","S","4215   Glencoe Ave #407","Marina Del Rey","1","2.00 (1 1 0 0)","950","$946.32","$899,000","$920,000","$473.64","79,615","2008","19"
"","27","21-107075","12","C/C","S","11930   Avon Way #107","MARINA DEL REY","2","2.00 (2 0 0 0)","965","$699.48","$675,000","$685,000","$360.00","14,836","1986","19"
"","43","21-108053","12","C/C","S","310   Washington Blvd #207","Marina Del Rey","3","3.00 (3 0 0 0)","2,080","$792.31","$1,648,000","$1,640,000","$539.40","16,295","2012","4"
"","36","21-108239","12","C/C","S","4333   Redwood Ave #9","MARINA DEL REY","2","3.00 (2 0 1 0)","1,547","$808.02","$1,250,000","$1,340,000","$527.00","552,048","1974","74"
"","38","21-109041","12","C/C","S","4140   Glencoe Ave #603","Marina Del Rey","1","1.00 (1 0 0 0)","820","$1,109.76","$910,000","$900,000","$523.00","39,473","2016","28"
"","1","21-109525","12","C/C","S","13082   Mindanao Way #55","Marina Del Rey","3","2.00 (2 0 0 0)","1,839","$796.63","$1,465,000","$1,600,000","$990.00","538,756","1980","8"
"","31","21-109695","12","C/C","S","4421   Alla Rd #9","MARINA DEL REY","2","3.00 (1 1 1 0)","1,912","$705.54","$1,349,000","$1,325,000","$658.00","157,916","1976","58"
"","25","21-110281","12","C/C","S","11801   Avon Way #4","Los Angeles","2","3.00 (2 0 1 0)","1,500","$566","$849,000","$849,000","$470.00","6,702","2006","21"
"","26","21-110473","12","C/C","S","13210   FIJI WAY #M","MARINA DEL REY","2","3.00 (1 1 1 0)","1,582","$607.30","$960,750","$967,500","$565.00","139,313","1969","15"
"","39","21-110697","12","C/C","S","13234   FIJI WAY #G","MARINA DEL REY","2","3.00 (2 0 0 1)","1,932","$621.12","$1,199,999","$1,340,000","$460.00","64,223","1969","32"
"","1","21-111829","12","C/C","S","13080   Mindanao WAY #94","MARINA DEL REY","3","3.00 (3 0 0 0)","2,136","$720.51","$1,539,000","$1,683,000","$990.00","538,756","1980","9"
"","1","21-112079","12","C/C","S","4742   LA VILLA MARINA  #H","MARINA DEL REY","3","3.00 (2 0 1 0)","1,932","$685.82","$1,325,000","$1,325,000","$390.00","66,564","1966","0"
"","1","21-112088","12","C/C","S","4752   LA VILLA MARINA  #F","MARINA DEL REY","3","3.00 (2 0 1 0)","1,932","$646.48","$1,249,000","$1,315,000","$450.00","66,563","1967","13"
"","43","21-112757","12","C/C","S","4265   Marina City Drive #817","MARINA DEL REY","3","2.00 (1 1 0 0)","1,722","$531.36","$915,000","$850,000","$1,304.63","","1972","4"
"","41","21-112833","12","C/C","S","13700   MARINA POINTE DR #1625","VENICE","2","3.00 (2 0 1 0)","1,431","$925.93","$1,325,000","$1,280,000","$1,041.00","124,670","2003","13"
"","1","21-113233","12","C/C","S","13322   Maxella AVE #4","MARINA DEL REY","2","3.00 (2 0 1 0)","1,544","$841.32","$1,299,000","$1,380,000","$527.00","552,048","1974","9"
"","1","21-113469","12","C/C","S","13600   MARINA POINTE DR #1007","MARINA DEL REY","2","3.00 (2 0 1 0)","1,850","$862.16","$1,595,000","$1,630,000","$1,834.38","122,880","1999","12"
"","29","21-113603","12","C/C","S","4267   Marina City DR #302","MARINA DEL REY","2","2.00 (2 0 0 0)","1,420","$562.68","$799,000","$750,000","$1,154.35","","1970","139"
"","34","21-114185","12","C/C","S","4316   MARINA CITY DR #627C","MARINA DEL REY","2","2.00 (2 0 0 0)","1,422","$442.33","$629,000","$595,000","$1,100.00","","","92"
"","50","21-686516","12","C/C","S","4314   Marina City  #1130","MARINA DEL REY","3","2.00 (1 1 0 0)","1,870","$508.02","$950,000","$925,000","$1,304.63","1,870","","315"
"","43","21-717868","12","C/C","S","310   Tahiti Way #212","Marina Del Rey","2","2.00 (2 0 0 0)","1,428","$734.59","$1,049,000","$1,026,000","$758.00","194,604","1979","40"
"","1","21-745240","12","C/C","S","13229   Fiji Way #K","Marina Del Rey","3","3.00 (2 0 1 0)","1,582","$631.48","$999,000","$975,000","$400.00","87,554","1968","10"
"","33","21-757294","12","C/C","S","13326   Beach Ave #103","Marina Del Rey","2","2.00 (1 1 0 0)","1,250","$796","$995,000","$945,000","$435.47","13,280","2007","32"
"","32","21-760188","12","C/C","S","4335   Marina City DR #140 ETS","MARINA DEL REY","2","2.00 (1 1 0 0)","1,422","$477.50","$679,000","$635,000","$1,078.29","","1972","107"
"","30","21-769682","12","C/C","S","4316   Marina City Drive #533","MARINA DEL REY","3","2.00 (2 0 0 0)","1,800","$443.33","$798,000","$780,000","$1,304.63","","1972","192"
"","1","21-770480","12","C/C","S","4337   Marina City DR #1043","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$550.80","$515,000","$495,000","$559.89","","1972","350"
"","47","21-771248","12","C/C","S","4265   Marina City DR #101 WTN","MARINA DEL REY","3","4.00 (1 2 1 0)","1,722","$359.47","$619,000","$614,000","$1,396.65","","1972","172"
"","31","21-773668","12","C/C","S","4316   Marina City  #921","MARINA DEL REY","1","1.00 (1 0 0 0)","","$0","$575,000","$570,000","$709.10","1,050","","65"
"","29","21-780964","12","C/C","S","4337   Marina City DR #945","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$502.67","$470,000","$490,000","$1,263.00","","1972","44"
"","47","21-781108","12","C/C","S","4316   Marina City Dr #629","MARINA DEL REY","2","2.00 (1 1 0 0)","1,422","$488.75","$695,000","$671,550","$1,078.29","","1972","42"
"","28","21-785852","12","C/C","S","4758   La Villa Marina  #J","Marina Del Rey","2","3.00 (2 0 0 1)","1,582","$694.69","$1,099,000","$1,090,000","$400.00","66,563","1967","30"
"","32","21-786402","12","C/C","S","4050   Glencoe Ave #223","Marina Del Rey","1","2.00 (1 0 1 0)","890","$785.39","$699,000","$726,000","$462.36","59,223","2007","12"
"","38","21-786674","12","C/C","S","13600   Marina Pointe Dr #605","Marina Del Rey","2","3.00 (3 0 0 0)","1,830","$655.74","$1,199,999","$1,050,000","$1,739.72","122,880","1999","91"
"","1","21-787822","12","C/C","S","311   Bora Bora Way #215","MARINA DEL REY","2","2.00 (1 1 0 0)","1,386","$720.78","$999,000","$985,000","$758.00","194,604","1979","30"
"","52","21-788046","12","C/C","S","4335   Marina City DR #1134","MARINA DEL REY","1","1.00 (1 0 0 0)","1,050","$661.90","$695,000","$675,000","$709.10","1,050","1971","40"
"","1","21-788600","12","C/C","S","13700   Marina Pointe Dr #1614","Marina Del Rey","1","1.00 (1 0 0 0)","946","$946.09","$895,000","$895,000","$1,008.03","124,662","2003","13"
"","24","21-788642","12","C/C","S","4337   Marina City Drive #141","MARINA DEL REY","2","2.00 (2 0 0 0)","1,422","$488.75","$695,000","$675,000","$1,020.12","","1972","224"
"","35","21-788982","12","C/C","S","4319   Redwood Ave #3","Marina Del Rey","2","2.00 (2 0 0 0)","1,398","$643.06","$899,000","$945,000","$590.00","552,048","1974","15"
"","1","21-790584","12","C/C","S","13322   Maxella Ave #3","MARINA DEL REY","2","2.00 (2 0 0 0)","1,398","$786.12","$1,099,000","$1,085,000","$527.00","552,048","1974","38"
"","1","21-791416","12","C/C","S","13700   Marina Pointe Dr #916","Marina Del Rey","2","2.00 (2 0 0 0)","1,227","$1,009.78","$1,239,000","$1,215,000","$1,068.40","124,662","2003","96"
"","26","21-791668","12","C/C","S","13078   Mindanao Way #115","Marina Del Rey","2","2.00 (2 0 0 0)","1,929","$562.47","$1,085,000","$1,035,000","$990.00","538,756","1980","25"
"","32","21-792642","12","C/C","S","13600   Marina Pointe Dr #1008","MARINA DEL REY","2","3.00 (2 0 1 0)","1,860","$833.33","$1,550,000","$1,488,000","$1,837.07","122,880","1999","0"
"","33","21-793012","12","C/C","S","13700   Marina Pointe Dr #1208","Marina Del Rey","2","3.00 (2 0 0 1)","1,748","$685.93","$1,199,000","$1,200,000","$1,180.00","124,662","2003","27"
"","19","21-795364","12","C/C","S","5000  S Centinela Ave #344","Los Angeles","1","1.00 (1 0 0 0)","778","$629.82","$490,000","$500,000","$373.73","142,789","1970","9"
"","52","21-796242","12","C/C","S","13700   Marina Pointe Dr #1223","Marina Del Rey","2","2.00 (2 0 0 0)","1,724","$898.49","$1,549,000","$1,525,000","$1,170.00","124,662","2003","7"
"","1","21-796352","12","C/C","S","13206   Fiji WAY #Unit C","MARINA DEL REY","2","3.00 (2 0 1 0)","1,582","$656.76","$1,039,000","$1,035,000","$565.00","139,313","1969","9"
"","1","21-797280","12","C/C","S","4631   Alla Rd #2","Marina Del Rey","3","3.00 (2 0 1 0)","1,646","$726.00","$1,195,000","$1,175,000","$658.00","196,085","1977","35"
"","24","21-797776","12","C/C","S","310   Washington Blvd #203","Marina Del Rey","3","3.00 (3 0 0 0)","1,960","$827.04","$1,621,000","$1,580,000","$621.00","16,295","2012","50"
"","54","21-798028","12","C/C","S","4718   La Villa Marina  #C","MARINA DEL REY","2","3.00 (1 1 1 0)","1,582","$757.90","$1,199,000","$1,199,000","$520.00","67,896","1966","14"
"","35","21-798310","12","C/C","S","310   Washington Blvd #405","Marina Del Rey","3","3.00 (3 0 0 0)","1,960","$816.33","$1,600,000","$1,580,000","$621.00","8,720","2012","4"
"","18","21-799284","12","C/C","S","11801   Avon Way #6","Los Angeles","2","3.00 (3 0 0 0)","1,500","$566.67","$850,000","$905,000","$470.00","6,702","2006","16"
"","18","21-799302","12","C/C","S","4080   Glencoe Ave #320","Marina Del Rey","2","2.00 (2 0 0 0)","1,340","$869.40","$1,165,000","$1,165,000","$575.00","11,321","2011","43"
"","15","21-799444","12","C/C","S","4115   Glencoe Ave #107","Marina Del Rey","2","2.00 (2 0 0 0)","1,780","$606.18","$1,079,000","$1,030,000","$600.00","39,560","2006","34"
"","17","21-799490","12","C/C","S","13221   Admiral Ave #A","Marina Del Rey","2","3.00 (2 0 1 0)","1,672","$591.51","$989,000","$1,054,000","$440.00","85,236","1966","6"
"","20","21-799560","12","C/C","S","3812   Pacific Ave #3","Marina Del Rey","3","3.00 (3 0 0 0)","1,120","$1,227.68","$1,375,000","$1,335,000","$200.00","3,035","1966","23"
"","44","21-799758","12","C/C","S","4316   Marina City DR #725","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$657.75","$615,000","$630,000","$759.11","","1972","118"
"","17","210032682SD","12","C/C","S","4337   Marina City Drive #PH42ETN","Marina del Rey","3","3.00 (2 0 1 0)","2,652","$571.27","$1,515,000","$1,200,000","$3,598.96","","1978","76"
"","29","219093412DA","12","C/C","S","4707   La Villa Marina  #J","Marina Del Rey","3","3.00 (2 0 1 0)","1,932","$744.82","$1,439,000","$1,505,000","$405.00","65,854","1966","11"
"","47","22-114873","12","C/C","S","4622   GLENCOE AVE #1","MARINA DEL REY","2","3.00 (2 0 1 0)","1,646","$685.91","$1,129,000","$1,265,000","$658.00","159,265","1978","7"
"","52","22-114947","12","C/C","S","13700   Marina Pointe Dr #729","Marina Del Rey","3","4.00 (3 0 1 0)","2,099","$1,038.59","$2,180,000","$2,050,000","$1,254.00","124,662","2003","37"
"","1","22-115235","12","C/C","S","4707   La Villa Marina  #F","MARINA DEL REY","3","3.00 (2 0 1 0)","1,932","$698.24","$1,349,000","$1,360,000","$440.00","65,854","1966","13"
"","18","22-115261","12","C/C","S","306   Bora Bora Way #102","MARINA DEL REY","2","2.00 (2 0 0 0)","1,497","$692.05","$1,036,000","$1,036,000","$675.00","100,437","1978","12"
"","1","22-115269","12","C/C","S","13700   MARINA POINTE DR #815","MARINA DEL REY","1","1.00 (1 0 0 0)","835","$920.96","$769,000","$769,000","$1,005.84","124,670","2003","20"
"","1","22-115515","12","C/C","S","4350   VIA DOLCE  #110","MARINA DEL REY","2","2.00 (2 0 0 0)","1,546","$646.18","$999,000","$1,125,000","$780.00","191,275","1974","12"
"","26","22-116159","12","C/C","S","4215   GLENCOE AVE #219","MARINA DEL REY","1","1.00 (1 0 0 0)","1,200","$687.50","$825,000","$860,000","$500.69","79,707","2008","8"
"","17","22-116265","12","C/C","S","20   KETCH ST #1","MARINA DEL REY","4","3.00 (3 0 0 0)","1,870","$1,334.22","$2,495,000","$2,495,000","$375.00","3,485","1979","8"
"","54","22-116275","12","C/C","S","13650   MARINA POINTE DR #906","MARINA DEL REY","2","2.00 (2 0 0 0)","1,533","$651.66","$999,000","$1,051,000","$1,626.30","31,650","2006","16"
"","33","22-116287","12","C/C","S","4350   GLENCOE AVE #2","MARINA DEL REY","2","3.00 (1 1 1 0)","1,544","$761.01","$1,175,000","$1,285,000","$540.00","552,048","1974","13"
"","49","22-116383","12","C/C","S","13700   MARINA POINTE DR #603","MARINA DEL REY","2","3.00 (2 0 1 0)","1,481","$910.87","$1,349,000","$1,347,000","$1,144.89","124,670","2003","32"
"","43","22-116393","12","C/C","S","13600   MARINA POINTE DR #815","MARINA DEL REY","2","3.00 (3 0 0 0)","2,295","$822.66","$1,888,000","$1,845,000","$1,832.00","122,880","1999","19"
"","33","22-116397","12","C/C","S","4926   MCCONNELL AVE ","LOS ANGELES","4","3.00 (1 1 1 0)","1,844","$677.33","$1,249,000","$1,250,000","$530.00","94,892","1972","41"
"","21","22-117329","12","C/C","S","4215   GLENCOE AVE #202","MARINA DEL REY","2","2.00 (2 0 0 0)","1,170","$759.83","$889,000","$920,000","$498.62","79,615","2008","12"
"","1","22-117461","12","C/C","S","4200   VIA DOLCE  #332","MARINA DEL REY","2","2.00 (2 0 0 0)","1,419","$909.09","$1,290,000","$1,249,000","$780.00","191,275","1974","10"
"","2","22-117499","12","C/C","S","13233   FIJI WAY #F","VENICE","2","3.00 (2 0 1 0)","1,932","$582.30","$1,125,000","$1,210,000","$415.00","66,621","1970","5"
"","16","22-117743","12","C/C","S","4215   GLENCOE AVE #214","MARINA DEL REY","2","2.00 (2 0 0 0)","1,260","$712.70","$898,000","$960,000","$508.75","79,615","2008","10"
"","13","22-117751","12","C/C","S","4316   Marina City Dr #129 CTN","MARINA DEL REY","2","2.00 (2 0 0 0)","1,550","$360.65","$559,000","$539,250","$683.99","","","90"
"","15","22-118101","12","C/C","S","4151   REDWOOD AVE #304","LOS ANGELES","3","4.00 (1 2 1 0)","1,500","$916.33","$1,374,500","$1,490,000","$438.00","9,929","2007","12"
"","1","22-118191","12","C/C","S","310   WASHINGTON BLVD #404","MARINA DEL REY","3","3.00 (3 0 0 0)","1,960","$815.82","$1,599,000","$1,615,000","$564.01","8,806","2012","8"
"","31","22-118799","12","C/C","S","4730   La Villa Marina  #16","Marina Del Rey","2","3.00 (2 0 1 0)","1,456","$720.47","$1,049,000","$1,130,000","$475.00","66,564","1966","10"
"","19","22-119015","12","C/C","S","4600   VIA DOLCE  #2302","VENICE","2","2.00 (2 0 0 0)","1,480","$742.57","$1,099,000","$1,050,000","$758.00","194,601","1979","52"
"","30","22-119075","12","C/C","S","13700   MARINA POINTE DR #1016","MARINA DEL REY","2","2.00 (2 0 0 0)","1,227","$1,058.68","$1,299,000","$1,299,000","$1,090.22","124,670","2003","32"
"","31","22-119369","12","C/C","S","13600   MARINA POINTE DR #808","MARINA DEL REY","2","3.00 (2 0 1 0)","1,860","$730.65","$1,359,000","$1,305,000","$1,837.07","122,880","1999","33"
"","31","22-119669","12","C/C","S","4737   LA VILLA MARINA  #D","MARINA DEL REY","2","3.00 (2 0 1 0)","1,582","$742.73","$1,175,000","$1,261,500","$440.00","85,236","1966","8"
"","1","22-120821","12","C/C","S","13700   MARINA POINTE DR #821","MARINA DEL REY","1","1.00 (1 0 0 0)","859","$895.23","$769,000","$764,000","$1,011.00","124,670","2003","102"
"","1","22-121303","12","C/C","S","3111   VIA DOLCE  #219","MARINA DEL REY","2","2.00 (2 0 0 0)","1,280","$917.97","$1,175,000","$1,200,000","$958.61","27,336","2010","22"
"","32","22-121721","12","C/C","S","306   Bora Bora Way #103","Marina Del Rey","2","2.00 (2 0 0 0)","1,452","$792.01","$1,150,000","$1,175,000","$675.00","100,437","1978","5"
"","14","22-121869","12","C/C","S","13107   MINDANAO WAY #3","MARINA DEL REY","3","3.00 (2 0 1 0)","1,585","$694.01","$1,100,000","$1,105,000","$540.00","552,048","1974","11"
"","1","22-122067","12","C/C","S","13600   MARINA POINTE DR #1708","MARINA DEL REY","2","3.00 (3 0 0 0)","1,762","$793.98","$1,399,000","$1,237,500","$1,800.00","122,880","1999","0"
"","22","22-123571","12","C/C","S","13218   FIJI WAY #J","MARINA DEL REY","2","3.00 (2 0 1 0)","1,582","$692.16","$1,095,000","$1,105,000","$565.00","139,313","1969","9"
"","29","22-124157","12","C/C","S","33   PRIVATEER ST #6","MARINA DEL REY","2","3.00 (2 0 1 0)","1,597","$876.02","$1,399,000","$1,500,000","$350.00","4,793","1969","7"
"","23","22-124667","12","C/C","S","13320   BEACH AVE #304","MARINA DEL REY","1","2.00 (2 0 0 0)","1,210","$867.77","$1,050,000","$1,075,000","$430.00","21,011","2006","4"
"","23","22-125065","12","C/C","S","4365   MCLAUGHLIN AVE #27","LOS ANGELES","2","3.00 (3 0 0 0)","1,368","$620.61","$849,000","$952,000","$450.00","54,049","1980","7"
"","31","22-125641","12","C/C","S","13036   MINDANAO WAY #2","MARINA DEL REY","3","3.00 (3 0 0 0)","1,707","$702.40","$1,199,000","$1,300,000","$658.00","130,685","1977","9"
"","28","22-126271","12","C/C","S","13216   ADMIRAL AVE #B","MARINA DEL REY","3","3.00 (2 0 1 0)","1,985","$702.77","$1,395,000","$1,400,000","$520.00","83,571","1968","8"
"","2","22-126535","12","C/C","S","4215   GLENCOE AVE #308","MARINA DEL REY","0","1.00 (1 0 0 0)","715","$907.69","$649,000","$700,000","$446.13","79,615","2008","8"
"","19","22-126585","12","C/C","S","20   Ironsides St #16","Venice","2","3.00 (2 0 1 0)","1,875","$1,000","$1,875,000","$1,995,000","$400.00","16,929","1978","4"
"","27","22-127021","12","C/C","S","13700   MARINA POINTE DR #1422","VENICE","1","1.00 (1 0 0 0)","859","$1,023.28","$879,000","$884,000","$989.34","124,670","2003","8"
"","38","22-127179","12","C/C","S","4640   GLENCOE AVE #5","MARINA DEL REY","2","3.00 (1 1 1 0)","1,912","$653.24","$1,249,000","$1,250,000","$658.00","196,085","1977","23"
"","38","22-127187","12","C/C","S","4801   LA VILLA MARINA  #J","MARINA DEL REY","2","3.00 (1 1 1 0)","1,582","$693.43","$1,097,000","$1,143,805","$565.00","139,313","1969","14"
"","1","22-127689","12","C/C","S","4140   GLENCOE AVE #405","MARINA DEL REY","2","2.00 (2 0 0 0)","1,178","$844.65","$995,000","$1,127,000","$523.38","39,473","2016","12"
"","1","22-127829","12","C/C","S","4346   REDWOOD AVE #A108","MARINA DEL REY","2","2.00 (2 0 0 0)","1,929","$596.16","$1,150,000","$1,185,000","$1,266.08","0","1981","17"
"","30","22-128665","12","C/C","S","4215   GLENCOE AVE #118","MARINA DEL REY","2","2.00 (2 0 0 0)","2,100","$704.76","$1,480,000","$1,480,000","$609.37","79,615","2008","10"
"","1","22-128909","12","C/C","S","13650   Marina Pointe Dr #1507","Marina Del Rey","2","2.00 (2 0 0 0)","1,901","$841.14","$1,599,000","$1,600,000","$1,759.51","31,650","2006","1"
"","40","22-128925","12","C/C","S","13600   MARINA POINTE DR #1108","MARINA DEL REY","2","3.00 (2 0 1 0)","1,860","$832.80","$1,549,000","$1,490,000","$1,837.07","122,880","1999","25"
"","1","22-128937","12","C/C","S","3716   VIA DOLCE  ","MARINA DEL REY","3","3.00 (2 0 1 0)","1,714","$932.91","$1,599,000","$1,700,000","$460.00","105,178","1978","11"
"","23","22-128942","12","C/C","S","310   WASHINGTON BLVD #103","MARINA DEL REY","3","3.00 (2 1 0 0)","1,960","$813.78","$1,595,000","$1,584,300","$760.08","8,373","2012","5"
"","17","22-129329","12","C/C","S","13072   MAXELLA AVE #1","MARINA DEL REY","3","3.00 (2 0 1 0)","1,645","$778.12","$1,280,000","$1,337,500","$615.00","390,060","1975","11"
"","34","22-130353","12","C/C","S","14   REEF ST #4","MARINA DEL REY","2","2.00 (2 0 0 0)","1,377","$1,226.58","$1,689,000","$1,625,000","$300.00","3,031","1971","15"
"","25","22-130871","12","C/C","S","4151   REDWOOD AVE #305","LOS ANGELES","3","4.00 (4 0 0 0)","1,580","$882.91","$1,395,000","$1,525,000","$438.00","9,930","2007","13"
"","27","22-131763","12","C/C","S","4211   REDWOOD AVE #303","LOS ANGELES","2","2.00 (2 0 0 0)","1,120","$848.21","$949,999","$1,025,000","$421.04","38,497","2010","6"
"","1","22-132711","12","C/C","S","13600   Marina Pointe Drive #303","MARINA DEL REY","2","3.00 (2 0 1 0)","1,855","$592.99","$1,100,000","$1,100,000","$1,728.34","122,916","1999","0"
"","1","22-132805","12","C/C","S","4115   Glencoe Ave #309","MARINA DEL REY","2","2.00 (2 0 0 0)","1,240","$725","$899,000","$899,000","$600.00","39,560","2006","22"
"","21","22-133023","12","C/C","S","12957   BONAPARTE AVE #2","LOS ANGELES","1","1.00 (1 0 0 0)","811","$861.90","$699,000","$695,000","$250.00","5,750","1976","11"
"","24","22-133113","12","C/C","S","4316   Marina City Drive #123C","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$529.41","$495,000","$495,000","$759.11","","","10"
"","18","22-134297","12","C/C","S","4080   GLENCOE AVE #409","MARINA DEL REY","2","2.00 (2 0 0 0)","1,340","$938.06","$1,257,000","$1,225,000","$557.83","11,330","2011","22"
"","26","22-134469","12","C/C","S","20   IRONSIDES ST #14","MARINA DEL REY","2","2.00 (1 1 0 0)","1,860","$1,018.82","$1,895,000","$1,885,000","$400.00","16,929","1978","11"
"","52","22-134497","12","C/C","S","13700   Marina Pointe Dr #1112","Marina Del Rey","1","2.00 (1 0 1 0)","1,088","$881.43","$959,000","$930,000","$1,060.30","124,611","2003","6"
"","1","22-134516","12","C/C","S","13700   MARINA POINTE DR #1806","MARINA DEL REY","3","3.00 (3 0 0 0)","1,881","$1,113.77","$2,095,000","$2,095,000","$1,232.00","124,670","2003","96"
"","21","22-134805","12","C/C","S","4316   Marina City DR #PH 26","MARINA DEL REY","2","3.00 (1 1 1 0)","2,652","$593.89","$1,575,000","$1,575,000","$2,154.51","","1972","6"
"","48","22-135071","12","C/C","S","4337   Marina City DR #235","MARINA DEL REY","3","2.00 (2 0 0 0)","","$0","$669,000","$660,000","$874.28","","1972","47"
"","21","22-135569","12","C/C","S","306   BORA BORA WAY #312","MARINA DEL REY","2","2.00 (2 0 0 0)","1,481","$877.79","$1,300,000","$1,320,000","$650.00","100,437","1978","7"
"","36","22-135627","12","C/C","S","3511   OCEAN FRONT WALK ","MARINA DEL REY","4","5.00 (4 0 1 0)","5,462","$1,373.12","$7,500,000","$7,400,000","$1,445.00","7,283","1989","13"
"","1","22-136681","12","C/C","S","13650   MARINA POINTE DR #1405","MARINA DEL REY","2","2.00 (2 0 0 0)","1,714","$816.80","$1,400,000","$1,400,000","$1,759.00","31,650","2006","0"
"","45","22-137007","12","C/C","S","4314   Marina City DR #826","MARINA DEL REY","1","1.00 (1 0 0 0)","","$0","$599,000","$535,000","$759.11","1,050","","119"
"","26","22-137991","12","C/C","S","4914 1/2  MCCONNELL AVE ","LOS ANGELES","3","3.00 (2 0 1 0)","1,608","$745.65","$1,199,000","$1,352,000","$530.00","94,892","1972","8"
"","1","22-138841","12","C/C","S","13600   MARINA POINTE DR #401","MARINA DEL REY","2","3.00 (2 0 1 0)","1,945","$519.28","$1,010,000","$1,010,000","$1,856.67","122,880","1999","0"
"","31","22-139603","12","C/C","S","4215   GLENCOE AVE #101","MARINA DEL REY","2","2.00 (2 0 0 0)","1,700","$702.94","$1,195,000","$1,277,250","$589.90","79,615","2008","9"
"","35","22-139653","12","C/C","S","310   WASHINGTON BLVD #601","MARINA DEL REY","4","3.00 (3 0 0 0)","2,080","$841.35","$1,750,000","$2,100,000","$788.00","10,142","2012","4"
"","31","22-139847","12","C/C","S","34   GALLEON ST ","MARINA DEL REY","3","3.00 (2 0 1 0)","1,796","$974.39","$1,750,000","$2,016,835","$530.00","6,567","1988","7"
"","25","22-140039","12","C/C","S","4365   ALLA RD #3","MARINA DEL REY","2","3.00 (1 1 1 0)","1,547","$645.44","$998,500","$1,050,000","$615.00","390,060","1975","8"
"","35","22-140430","12","C/C","S","13600   MARINA POINTE DR #812","MARINA DEL REY","2","3.00 (2 0 1 0)","1,920","$911.46","$1,750,000","$1,700,000","$1,851.59","122,880","1999","15"
"","32","22-140745","12","C/C","S","4600   VIA DOLCE  #2209","MARINA DEL REY","2","2.00 (2 0 0 0)","1,613","$774.95","$1,250,000","$1,290,000","$811.00","194,601","1979","16"
